Date,Nino 3,Label
1964-May-01,-1.38,LaNinaTemp
1965-May-01,0.54,NinoTemp
1966-May-01,-0.6,LaNinaTemp
1967-May-01,-0.41,Cold
1968-May-01,-0.85,LaNinaTemp
1969-May-01,0.65,NinoTemp
1970-May-01,-0.62,LaNinaTemp
1971-May-01,-0.87,LaNinaTemp
1972-May-01,0.49,Warm
1973-May-01,-0.89,LaNinaTemp
1974-May-01,-0.37,Cold
1975-May-01,-0.93,LaNinaTemp
1976-May-01,-0.07,Cold
1977-May-01,-0.22,Cold
1978-May-01,-0.81,LaNinaTemp
1979-May-01,0.08,Warm
1980-May-01,0.07,Warm
1981-May-01,-0.21,Cold
1982-May-01,0.63,NinoTemp
1983-May-01,1.96,NinoTemp
1984-May-01,-0.77,LaNinaTemp
1985-May-01,-1.11,LaNinaTemp
1986-May-01,-0.63,LaNinaTemp
1987-May-01,1.07,NinoTemp
1988-May-01,-1.3,LaNinaTemp
1989-May-01,-0.78,LaNinaTemp
1990-May-01,0.24,Warm
1991-May-01,0.37,Warm
1992-May-01,1.38,NinoTemp
1993-May-01,1.05,NinoTemp
1994-May-01,-0.21,Cold
1995-May-01,-0.53,LaNinaTemp
1996-May-01,-0.53,LaNinaTemp
1997-May-01,1.07,NinoTemp
1998-May-01,1.25,NinoTemp
1999-May-01,-0.59,LaNinaTemp
2000-May-01,-0.5,LaNinaTemp
2001-May-01,-0.31,Cold
2002-May-01,0.15,Warm
2003-May-01,-0.89,LaNinaTemp
2004-May-01,-0.32,Cold
2005-May-01,0.25,Warm
2006-May-01,-0.14,Cold
2007-May-01,-0.76,LaNinaTemp
2008-May-01,-0.19,Cold
2009-May-01,0.34,Warm
2010-May-01,-0.01,Cold
2011-May-01,-0.23,Cold
2012-May-01,0.01,Warm
2013-May-01,-0.67,LaNinaTemp
2014-May-01,0.55,NinoTemp
2015-May-01,0.99,NinoTemp
2016-May-01,0.21,Warm
2017-May-01,0.31,Warm
2018-May-01,-0.18,Cold
1870-June-01,-0.99,LaNinaTemp
1871-June-01,-0.52,LaNinaTemp
1872-June-01,-0.61,LaNinaTemp
1873-June-01,-0.39,Cold
1874-June-01,-0.78,LaNinaTemp
1875-June-01,-0.65,LaNinaTemp
1876-June-01,-0.64,LaNinaTemp
1877-June-01,0.51,NinoTemp
1878-June-01,0.73,NinoTemp
1879-June-01,-0.56,LaNinaTemp
1880-June-01,-0.65,LaNinaTemp
1881-June-01,0.06,Warm
1882-June-01,-0.7,LaNinaTemp
1883-June-01,-0.08,Cold
1884-June-01,-0.04,Cold
1885-June-01,-0.2,Cold
1886-June-01,-1.28,LaNinaTemp
1887-June-01,-0.38,Cold
1888-June-01,0.6,NinoTemp
1889-June-01,0.01,Warm
1890-June-01,-0.92,LaNinaTemp
1891-June-01,0.46,Warm
1892-June-01,-0.68,LaNinaTemp
1893-June-01,-0.94,LaNinaTemp
1894-June-01,-0.64,LaNinaTemp
1895-June-01,-0.14,Cold
1896-June-01,0.09,Warm
1897-June-01,-0.05,Cold
1898-June-01,-0.51,LaNinaTemp
1899-June-01,0.2,Warm
1900-June-01,0.84,NinoTemp
1901-June-01,-0.46,Cold
1902-June-01,0.88,NinoTemp
1903-June-01,0.05,Warm
1904-June-01,0.24,Warm
1905-June-01,0.88,NinoTemp
