Date,Nino 3
1911-August-01,0.23
1912-August-01,-0.42
1913-August-01,0.06
1914-August-01,0.98
1915-August-01,0.01
1916-August-01,-1.72
1917-August-01,0.31
1918-August-01,0.6
1919-August-01,0.59
1920-August-01,-0.02
1921-August-01,-0.6
1922-August-01,-1.19
1923-August-01,0.07
1924-August-01,-0.8
1925-August-01,0.86
1926-August-01,0.09
1927-August-01,-0.2
1928-August-01,-0.39
1929-August-01,0.05
1930-August-01,0.93
1931-August-01,-0.17
1932-August-01,0.17
1933-August-01,-0.86
1934-August-01,-0.16
1935-August-01,0.0
1936-August-01,-0.36
1937-August-01,-0.41
1938-August-01,-1.04
1939-August-01,0.18
1940-August-01,0.68
1941-August-01,0.69
1942-August-01,-1.27
1943-August-01,0.03
1944-August-01,-0.01
1945-August-01,-0.55
1946-August-01,-0.96
1947-August-01,-0.52
1948-August-01,-0.03
1949-August-01,-0.58
1950-August-01,-0.51
1951-August-01,1.26
1952-August-01,-0.55
1953-August-01,0.04
1954-August-01,-1.33
1955-August-01,-0.79
1956-August-01,-0.67
1957-August-01,1.14
1958-August-01,0.08
1959-August-01,-0.5
1960-August-01,0.03
1961-August-01,-0.59
1962-August-01,-0.1
1963-August-01,0.9
1964-August-01,-1.03
1965-August-01,1.32
1966-August-01,-0.5
1967-August-01,-0.71
1968-August-01,0.38
1969-August-01,0.6
1970-August-01,-1.49
1971-August-01,-0.81
1972-August-01,2.02
1973-August-01,-1.22
1974-August-01,0.04
1975-August-01,-0.63
1976-August-01,0.97
1977-August-01,-0.21
1978-August-01,-0.72
1979-August-01,0.47
1980-August-01,-0.18
1981-August-01,-0.32
1982-August-01,1.12
1983-August-01,0.83
1984-August-01,-0.5
1985-August-01,-0.79
1986-August-01,-0.03
1987-August-01,1.43
1988-August-01,-1.56
1989-August-01,-0.51
1990-August-01,0.0
1991-August-01,0.29
1992-August-01,-0.35
1993-August-01,0.01
1994-August-01,-0.19
1995-August-01,-0.58
1996-August-01,-0.28
1997-August-01,2.75
1998-August-01,-0.27
1999-August-01,-0.74
2000-August-01,-0.38
2001-August-01,-0.28
2002-August-01,0.34
2003-August-01,0.07
2004-August-01,0.25
2005-August-01,0.09
2006-August-01,0.36
2007-August-01,-0.96
2008-August-01,0.54
2009-August-01,0.72
2010-August-01,-1.07
2011-August-01,-0.4
2012-August-01,0.75
2013-August-01,-0.48
2014-August-01,0.37
2015-August-01,2.08
2016-August-01,-0.5
2017-August-01,-0.37
2018-August-01,-0.12
1870-September-01,-0.81
1871-September-01,-0.31
1872-September-01,-0.93
1873-September-01,-0.47
1874-September-01,-1.14
1875-September-01,-0.82
1876-September-01,-0.02
